sentiment	productId	userId	summary	text	helpfulY	helpfulN
-1	B001E5E1KA	A3BPS5Z69S82MV	Dissappointed	I bought this product, because it's slightly less expensive per packet than the Truvia brand, only to discover it's much less sweet per packet, making it more expensive to use.  Worse yet, it doesn't taste as good to me as Truvia, or, for those looking to replace sucralose, as good as Splenda.  Its bitter aftertaste lowers it to the level of saccharine.	2	1
-1	B001CPQPXI	A1WCT6YAYIWLRV	Hard as rocks	Unless your dog is younger and has great teeth, I do not recommend you try these. They are extremely hard.	0	0
-1	B00654I0XE	A45NFCAENHRMD	Some products contained gluten.	I wouldn't recommend this to a celiac buyer. A few of the products had gluten in it. The sneaky 'this product may contain traces of wheat.' warning was on a number of them and I had a reaction after eating them. Mild but a celiac values staying completely off gluten as long as possible.<br /><br />Celiacs beware!	0	1
-1	B000FBM480	A1FEP94TP15RG0	"These ""Butter Leaves"" are addictively wonderful!"	Amazon sends you TWELVE boxes of these fabulous cookies and each box disappears FAST - in fact, DO NOT sit down with the whole box nearby or you will munch thru all of them without stopping! They are delicately sweet, crunchy, and buttery - without being at all greasy. You've been warned!	0	11
-1	B002KB2CMG	A31CQ4G2QFVMDE	Oregon versus Turkey	I bought a bag of the Oregon hazelnuts and a bag of the Turkish hazelnuts; both were roasted.<br />The Turkish ones were far better: crunchy and nice flavor. The Oregon hazelnuts were bigger, not crunchy and not flavorful.<br />They were not roasted adequately and tasted mushy.	0	0
1	B004XNZLEK	A1P8P6QKO7GX9U	My Dogs Love It	All three of my dogs love these chicken breasts wrapped with liver, but the little one, a chihuahua mix, who turns his nose at all foods and treats will actually eat these treats. The fact that they have no additives and are from free range animals makes me feel better about this being his only meal some days.	0	0
1	B005ZBZM52	A285C2SQLVSF2B	Great roast!	This is a great coffee at a great price.  We love it.  Be careful to keep it in an airtight container so it doesn't lose flavor.	0	0
1	B001ONPMN2	A25SXOKA0K8V67	Yum...Yum..Yummy!	I am really trying to be good this spring and am determined that I will drop at least 10 more lbs by Memorial Day so i am trying to watch what I eat. I found these on sale at the local grocery store so I figured I would give them a try.  They are FABULOUS!  The Amazon price can't be beat, especially when you sign up for the subscription service.	2	1
-1	B004G1WFH0	APLFMSCR4VQEI	Non-culinary Safron	This saffron is certainly not superior as described. It lends no color or aroma to the dishes in which it is used and the flavor is almost petroleum-like. We have purchased La Tienda saffron for years and decided mistakenly to try another product, this onet It ruined several dishes and we discarded the product.	2	1
1	B000RIAE9C	A325NNFLKRUZQ3	BEST MARGARITA MIX ON THE PLANET	This is the best margarita mix ever - tart & tangy - just the right blend of flavors for the tequila.  This is what a margarita is supposed to taste like!	1	0
-1	B000MBM19K	A2WOKQ831GDZU	Not worth it	This makes for a decent side dish, but no where near as good as the actual corn cake from El Torito.  I would not buy it again just because it doesn't compare to the real thing.	0	0
1	B000GDB096	A1HZQJ5KWRW27H	Excellent choice	I loved this merguez sausage. It's a little spicy but doesn't burn your mouth off. A nice subtle spiciness. Very nice with Harissa hot sauce.	1	0
1	B003VXFK44	A2OZPL96MVDILY	Best Coffee ever	This is the best tasting coffee available on k-cups!!!! The flavor is amazing, it is more expensive than other brands, but for a reason. Definitely worth trying.	0	0
-1	B002VTE84C	A15QVA30H0JRG0	Tastes bad, bothersome to make	This is one of the worst instant noodle I have ever tasted. Not only that it's bothersome to make, it tasted so bad I'd rather have those 10/$1 instant ramen.<br />Stick with NeoGuri, Chajang Myun or the classic Shim Ramyun. Stay away from this. I bought I box of 20 and I end up giving 18 of them away to my co-workers. No one liked it.<br /><br />edit:	1	4
1	B004U7QXMS	A18Y2GKMS5MIS8	Smooth & Awakening!	Tazo Awake Full Leaf Tea is the best black tea I have ever tasted.  It is much better than the ground tea bags you would find in the grocery store (even of the same brand and type!).  It is very smooth, yet bold, delicious drank straight or with a splash of milk and a little sugar.<br /><br />The caffeine content is perfect to give you a little heart racing boost and get your day started.  I am not a coffee drinker so I use this as my morning wake up drink.  Love it and always have it on me, even when traveling.	4	0
